"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Flights/All flights/Scheduled (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Groningen Airport Eelde";"2017 June";996;1242;364;182;22028;0;0
"Groningen Airport Eelde";"2017 July";896;1224;303;142;20642;0;0
"Groningen Airport Eelde";"2017 August";897;952;314;161;23958;0;0
"Groningen Airport Eelde";"2017 September";854;1352;329;170;22617;0;0
"Groningen Airport Eelde";"2017 October";807;2500;312;174;19145;0;0
"Groningen Airport Eelde";"2017 November";598;1708;244;164;11233;0;0
"Groningen Airport Eelde";"2017 December";461;844;219;140;11920;0;0
"Groningen Airport Eelde";"2018 January";630;1374;240;154;11514;0;0
"Groningen Airport Eelde";"2018 February";716;1664;206;142;10930;0;0
"Groningen Airport Eelde";"2018 March";841;1546;285;197;12606;0;0
"Groningen Airport Eelde";"2018 April";1097;1956;384;291;14847;0;0
"Groningen Airport Eelde";"2018 May";1317;1652;462;319;26376;0;0
"Groningen Airport Eelde";"2018 June";1199;1716;447;308;23629;0;0
"Groningen Airport Eelde";"2018 July";1177;1637;445;299;25712;0;0
"Groningen Airport Eelde";"2018 August";1085;2026;428;279;28502;0;0
"Groningen Airport Eelde";"2018 September";1243;1784;448;315;24297;0;0
"Groningen Airport Eelde";"2018 October";1143;2160;402;298;21192;0;0
"Groningen Airport Eelde";"2018 November";880;1112;367;290;15204;0;0
"Groningen Airport Eelde";"2018 December";714;744;321;256;13889;0;0
"Groningen Airport Eelde";"2019 January";551;1446;170;103;8244;0;0
"Groningen Airport Eelde";"2019 February";694;1290;158;108;8771;0;0
"Groningen Airport Eelde";"2019 March";832;1406;270;197;9541;0;0
"Groningen Airport Eelde";"2019 April";1100;1878;291;171;13622;0;0
"Groningen Airport Eelde";"2019 May";1192;1910;346;186;22217;0;0
"Groningen Airport Eelde";"2019 June";1149;1590;330;170;20981;0;0
"Groningen Airport Eelde";"2019 July";1024;1960;281;137;19813;0;0
"Groningen Airport Eelde";"2019 August";932;1832;260;116;21459;0;0
"Groningen Airport Eelde";"2019 September";989;2302;409;261;20756;0;0
"Groningen Airport Eelde";"2019 October";1147;2620;376;262;16210;0;0
"Groningen Airport Eelde";"2019 November";712;1547;280;244;7341;0;0
"Groningen Airport Eelde";"2019 December";641;1173;219;178;7067;0;0
"Groningen Airport Eelde";"2020 January";592;1246;210;179;5290;0;0
"Groningen Airport Eelde";"2020 February";534;1756;164;133;4587;0;0
"Groningen Airport Eelde";"2020 March";599;1752;30;8;1999;0;0
"Groningen Airport Eelde";"2020 April";368;470;5;0;0;0;0
"Groningen Airport Eelde";"2020 May";670;1912;7;0;47;0;0
"Groningen Airport Eelde";"2020 June";939;3148;6;0;0;0;0
"Groningen Airport Eelde";"2020 July";902;3916;54;0;2723;0;0
"Groningen Airport Eelde";"2020 August";677;3638;51;0;2231;0;0
"Groningen Airport Eelde";"2020 September";1066;3900;30;0;589;0;0
"Groningen Airport Eelde";"2020 October";687;4244;23;0;62;0;0
"Groningen Airport Eelde";"2020 November";746;3808;22;0;0;0;0
"Groningen Airport Eelde";"2020 December";346;1468;10;0;0;0;0
"Groningen Airport Eelde";"2021 January";371;696;20;0;0;0;0
"Groningen Airport Eelde";"2021 February";364;418;23;0;0;0;0
"Groningen Airport Eelde";"2021 March";869;6220;40;0;0;0;0
"Groningen Airport Eelde";"2021 April";972;5502;40;0;0;0;0
"Groningen Airport Eelde";"2021 May";807;5142;27;0;0;0;0
"Groningen Airport Eelde";"2021 June";1026;5682;39;0;694;0;0
"Groningen Airport Eelde";"2021 July";925;4148;101;0;4119;0;0
"Groningen Airport Eelde";"2021 August";823;5102;74;0;4475;0;0
"Groningen Airport Eelde";"2021 September";937;5052;98;0;6212;0;0
"Groningen Airport Eelde";"2021 October";745;3800;85;0;4794;0;0
"Groningen Airport Eelde";"2021 November";600;3812;68;0;3455;0;0
"Groningen Airport Eelde";"2021 December";543;2444;59;0;3511;0;0
"Groningen Airport Eelde";"2022 January*";563;3320;75;0;3666;0;0
"Groningen Airport Eelde";"2022 February*";828;3695;79;0;3436;0;0
"Groningen Airport Eelde";"2022 March*";1166;5958;63;0;3306;0;0
"Groningen Airport Eelde";"2022 April*";1029;4076;62;0;5010;0;0
"Groningen Airport Eelde";"2022 May*";1043;4264;120;0;8746;0;0
"Groningen Airport Eelde";"2022 June*";1260;5606;148;0;9400;0;0
"Groningen Airport Eelde";"2022 July*";1114;5362;132;0;11314;0;0
"Groningen Airport Eelde";"2022 August*";1131;5378;135;0;13390;0;0
"Groningen Airport Eelde";"2022 September*";901;5230;129;0;12223;0;0
"Groningen Airport Eelde";"2022 October*";1013;4706;112;0;9732;0;0
"Groningen Airport Eelde";"2022 November*";796;3268;69;0;3515;0;0
"Groningen Airport Eelde";"2022 December*";591;2423;69;0;3467;0;0
"Groningen Airport Eelde";"2023 January*";676;4006;64;0;3781;0;0
"Groningen Airport Eelde";"2023 February*";850;4477;67;0;3501;0;0
"Groningen Airport Eelde";"2023 March*";927;4446;68;0;3771;0;0
"Groningen Airport Eelde";"2023 April*";1030;4770;61;0;5532;0;0
"Groningen Airport Eelde";"2023 May*";1100;4939;126;0;12283;0;0
"Groningen Airport Eelde";"2023 June*";1194;5484;126;0;10831;0;0
"Groningen Airport Eelde";"2023 July*";1016;4229;126;0;12466;0;0
"Groningen Airport Eelde";"2023 August*";1045;5272;157;0;23618;0;0
